s_cong_Trans,s_inc_Trans,w_cong_Trans,w_inc_Trans,s_cong_Intrans,s_inc_Intrans,w_cong_Intrans,w_inc_Intrans,s_PE_Transitive,s_PE_Intransitive,w_PE_Transitive,w_PE_Intransitive
-34.40625,-37.40625,-6.984375,-7.24609375,-28.53125,-27.53125,-7.609375,-8.34375,3.0,-1.0,0.26171875,0.734375
-35.4375,-35.8125,-7.3203125,-7.3046875,-21.3125,-21.8125,-4.59765625,-5.32421875,0.375,0.5,-0.015625,0.7265625
-37.875,-39.15625,-11.1171875,-9.765625,-26.828125,-28.03125,-7.21484375,-8.3359375,1.28125,1.203125,-1.3515625,1.12109375
-37.3125,-38.46875,-10.90625,-11.015625,-29.109375,-30.890625,-10.8828125,-9.703125,1.15625,1.78125,0.109375,-1.1796875
-34.25,-34.96875,-7.07421875,-7.73828125,-23.40625,-25.34375,-9.125,-9.4921875,0.71875,1.9375,0.6640625,0.3671875
-35.875,-39.1875,-7.8671875,-8.71875,-28.765625,-27.46875,-8.6640625,-7.76953125,3.3125,-1.296875,0.8515625,-0.89453125
-38.625,-40.46875,-11.8203125,-11.1328125,-25.578125,-27.09375,-10.75,-9.703125,1.84375,1.515625,-0.6875,-1.046875
-44.5625,-49.75,-13.1875,-13.859375,-29.78125,-28.90625,-9.4375,-9.2265625,5.1875,-0.875,0.671875,-0.2109375
-44.59375,-51.96875,-11.9453125,-11.84375,-35.5625,-31.53125,-6.18359375,-5.140625,7.375,-4.03125,-0.1015625,-1.04296875
-31.046875,-35.90625,-11.4296875,-11.71875,-23.796875,-23.03125,-9.5546875,-8.90625,4.859375,-0.765625,0.2890625,-0.6484375
-43.25,-46.21875,-14.890625,-14.0859375,-29.703125,-29.5,-7.05078125,-7.4296875,2.96875,-0.203125,-0.8046875,0.37890625
-31.0625,-31.375,-9.5390625,-9.828125,-23.265625,-22.59375,-7.4375,-7.734375,0.3125,-0.671875,0.2890625,0.296875
