s_cong_Trans,s_inc_Trans,w_cong_Trans,w_inc_Trans,s_cong_Intrans,s_inc_Intrans,w_cong_Intrans,w_inc_Intrans,s_PE_Transitive,s_PE_Intransitive,w_PE_Transitive,w_PE_Intransitive
-62.96875,-68.4375,-7.85546875,-8.875,-45.65625,-45.0,-8.484375,-8.0078125,5.46875,-0.65625,1.01953125,-0.4765625
-61.46875,-63.4375,-4.87109375,-4.65234375,-44.09375,-44.375,-5.109375,-5.21875,1.96875,0.28125,-0.21875,0.109375
-64.625,-65.25,-6.1796875,-5.9921875,-45.9375,-47.3125,-5.71484375,-6.015625,0.625,1.375,-0.1875,0.30078125
-58.34375,-63.46875,-6.51171875,-6.8671875,-47.34375,-47.40625,-7.1875,-6.85546875,5.125,0.0625,0.35546875,-0.33203125
-64.0625,-66.25,-6.93359375,-6.8125,-43.8125,-43.6875,-7.28125,-7.15234375,2.1875,-0.125,-0.12109375,-0.12890625
-58.6875,-59.8125,-8.2578125,-8.90625,-35.34375,-35.15625,-8.1328125,-7.71484375,1.125,-0.1875,0.6484375,-0.41796875
-60.0625,-58.625,-12.0625,-12.0390625,-41.375,-41.78125,-11.5234375,-11.203125,-1.4375,0.40625,-0.0234375,-0.3203125
-65.75,-67.5,-11.5390625,-12.203125,-48.1875,-48.65625,-12.5078125,-11.6796875,1.75,0.46875,0.6640625,-0.828125
-78.25,-79.9375,-8.734375,-9.2265625,-57.5625,-57.34375,-7.56640625,-7.35546875,1.6875,-0.21875,0.4921875,-0.2109375
-51.78125,-54.0,-4.38671875,-3.953125,-39.78125,-40.625,-4.9453125,-5.4609375,2.21875,0.84375,-0.43359375,0.515625
-60.09375,-61.78125,-8.765625,-9.1484375,-41.875,-39.96875,-9.3125,-8.8125,1.6875,-1.90625,0.3828125,-0.5
-54.3125,-56.84375,-16.484375,-15.625,-36.96875,-37.96875,-13.234375,-13.65625,2.53125,1.0,-0.859375,0.421875
